stem,voronoi_f1,voronoi_iou,voronoi_precision,voronoi_recall,voronoi_tp,voronoi_fp,voronoi_fn,voronoi_tn,sam_f1,sam_iou,sam_precision,sam_recall,sam_tp,sam_fp,sam_fn,sam_tn,delta_iou,n_tokens,n_regen_masks,align_mean_centroid_error,align_mean_area_error,align_count_gap
02624,0.42161719154885446,0.26711973121563837,0.4468030755868904,0.39911920408908363,34982.0,43312.0,52666.0,131184.0,0.08585446491962402,0.044852631812041896,0.6027376878440708,0.04621896677619569,4051.0,2670.0,83597.0,171826.0,-0.22226709940359646,53,53,0.0,0.0,0.0
03647,0.30819230679945214,0.18216745794341227,0.24655315861413205,0.41092498359519125,33190.0,101426.0,47579.0,79949.0,0.4180210733601822,0.2642393437237969,0.466815308023579,0.3784620337010487,30568.0,34914.0,50201.0,146461.0,0.08207188578038466,23,23,0.0,0.0,0.0
08153,0.5024864508999424,0.3355471816611713,0.41598053527980533,0.6344178590512379,42742.0,60008.0,24630.0,134764.0,0.15215162080322353,0.08233988378925378,0.40634061473033056,0.09359971501513982,6306.0,9213.0,61066.0,185559.0,-0.25320729787191754,105,105,0.0,0.0,0.0
03528,0.12461106092542408,0.06644544943669886,0.07910414476408933,0.29339477726574503,2483.0,28906.0,5980.0,224775.0,0.2789551503203549,0.1620847651775487,0.23928299653335589,0.33439678600968925,2830.0,8997.0,5633.0,244684.0,0.09563931574084983,133,133,0.0,0.0,0.0
11826,0.19984743421459547,0.11101694268196777,0.13452002072385463,0.38853111722737355,14540.0,93548.0,22883.0,131173.0,0.021166794999918085,0.010696603911049294,0.027354336043360433,0.01726211153568661,646.0,22970.0,36777.0,201751.0,-0.10032033877091848,75,75,0.0,0.0,0.0
02361,0.5626579915737827,0.3914572789741611,0.45660867307192937,0.732870241733815,79128.0,94167.0,28842.0,60007.0,0.1657704864064086,0.09037608716786695,0.31942168419939737,0.11192923960359359,12085.0,25749.0,95885.0,128425.0,-0.30108119180629417,39,39,0.0,0.0,0.0
09139,0.31976422384358266,0.19030913897991839,0.2389018377890678,0.48337462511409574,22242.0,70859.0,23772.0,145271.0,0.1516471778727232,0.08204449716380005,0.21461532341475056,0.11724692484895902,5395.0,19743.0,40619.0,196387.0,-0.10826464181611833,77,77,0.0,0.0,0.0
06201,0.4209417182967995,0.2665776958167524,0.31108279533355987,0.650756418002393,54931.0,121649.0,29480.0,56084.0,0.17528633325496257,0.0960623775935443,0.20242343376671734,0.15456516330809966,13047.0,51407.0,71364.0,126326.0,-0.1705153182232081,59,59,0.0,0.0,0.0
04160,0.6891739997143371,0.5257555156551277,0.6249760657768767,0.7680707048336194,110977.0,66593.0,33511.0,51063.0,0.7197660595970549,0.5622144804023187,0.6470659707839727,0.8108701068600853,117161.0,63904.0,27327.0,53752.0,0.036458964747191014,57,57,0.0,0.0,0.0
06590,0.012691894918575895,0.006386475698520779,0.007205870665218428,0.053176930596285435,544.0,74950.0,9686.0,176964.0,0.03664202318910839,0.018662935451346736,0.023092982992158062,0.08866080156402736,907.0,38369.0,9323.0,213545.0,0.012276459752825958,72,72,0.0,0.0,0.0
03594,0.119119567244917,0.0633318126822302,0.0902232269002543,0.1752469813391877,3193.0,32197.0,15027.0,211727.0,0.023723597705972863,0.012004190141841963,0.02419400855920114,0.02327113062568606,424.0,17101.0,17796.0,226823.0,-0.05132762254038824,37,37,0.0,0.0,0.0
00840,0.3496121738734845,0.2118363746623298,0.21849145651494042,0.8742889647326507,23055.0,82464.0,3315.0,153310.0,0.6600487466305102,0.49259161105355725,0.5746002304471236,0.775350777398559,20446.0,15137.0,5924.0,220637.0,0.28075523639122746,87,87,0.0,0.0,0.0
09005,0.07260143024817588,0.03766809386888992,0.04530490199039536,0.182648401826484,3000.0,63218.0,13425.0,182501.0,0.24230047926651385,0.1378509104704097,0.3840158520475561,0.176986301369863,2907.0,4663.0,13518.0,241056.0,0.10018281660151979,100,100,0.0,0.0,0.0
08273,0.4684151685530794,0.3058369075845166,0.6268606187683605,0.37390647289876694,57401.0,34168.0,96116.0,74459.0,0.30362414358244416,0.17898400430176148,0.6583923836021388,0.19730713862308408,30290.0,15716.0,123227.0,92911.0,-0.12685290328275511,79,79,0.0,0.0,0.0
00642,0.2757563694267516,0.1599288897097869,0.2049287024436424,0.42140163036865796,6927.0,26875.0,9511.0,218831.0,0.3187117779048792,0.1895640341236196,0.5757431250993483,0.2203431074339944,3622.0,2669.0,12816.0,243037.0,0.02963514441383272,128,128,0.0,0.0,0.0
02732,0.586820148051619,0.41524802893457446,0.4847556964296394,0.7433261497546885,81056.0,86154.0,27989.0,66945.0,0.06962646640160998,0.03606890852456932,0.10519290309423608,0.052033564124902565,5674.0,48265.0,103371.0,104834.0,-0.3791791204100051,56,56,0.0,0.0,0.0
04171,0.29707165109034267,0.17444753402605004,0.3031022207153755,0.2912763704488067,28608.0,65776.0,69608.0,98152.0,0.039265641272819604,0.02002598725219926,0.12695497300606667,0.02322432190274497,2281.0,15686.0,95935.0,148242.0,-0.15442154677385078,55,55,0.0,0.0,0.0
07160,0.11561673601203444,0.06135521272214654,0.06622217663350087,0.4549896635970682,9684.0,136551.0,11600.0,104309.0,0.027061558117697768,0.013716372261406904,0.020124087089905904,0.04129862807742905,879.0,42800.0,20405.0,198060.0,-0.04763884046073964,75,75,0.0,0.0,0.0
