tp,fp,fn,tn,precision,recall,f1,iou,stem,mean_token_prob,mean_pixel_prob,mean_within_token_variance,boundary_inconsistency,interior_inconsistency
11533,131179,8766,110666,0.08081310611581366,0.5681560668013202,0.14149965339762346,0.07613646866211594,08728,0.45024266839027405,0.48152342438697815,3.3927293768612624e-15,0.30388399958610535,0.0
28577,105316,36224,92027,0.21343162077181033,0.4409962809215907,0.28764834368425823,0.16798438721585732,07471,0.5377112030982971,0.5146323442459106,5.415736447915177e-15,0.2785613238811493,0.0
25643,59946,13482,163073,0.2996062578135041,0.6554121405750799,0.4112288917042192,0.2588345731848876,01709,0.4055822491645813,0.42575472593307495,3.795330638187116e-15,0.33696040511131287,0.0
12952,72130,14738,162324,0.1522296137843492,0.46775009028530157,0.22970240839924802,0.12975355640152275,05209,0.35715344548225403,0.3687772750854492,1.8440484412451557e-15,0.2716633081436157,0.0
9260,53688,17820,181376,0.1471055474359789,0.3419497784342688,0.20571377793575332,0.11464936608557845,03336,0.3564317226409912,0.2934925854206085,1.765885910509887e-15,0.21680867671966553,0.0
90474,79041,27763,64866,0.5337226794089018,0.7651919449918384,0.6288331618894046,0.458611705309259,01244,0.5113080143928528,0.597665548324585,5.739674176221521e-15,0.28462085127830505,0.0
53478,42685,33427,132554,0.556118257541882,0.6153616017490363,0.5842419210348068,0.4126707307662628,02287,0.3636246919631958,0.33581969141960144,2.898648445511537e-15,0.30312299728393555,0.0
8602,67112,7818,178612,0.11361174947829991,0.5238733252131547,0.18672802656999588,0.10297849925776947,07651,0.31451764702796936,0.3032040297985077,2.2631410513302855e-15,0.2985260486602783,0.0
48003,111533,27170,75438,0.3008913348711263,0.6385670386974046,0.40904268690165274,0.2571047529270618,06337,0.5820848941802979,0.5592303276062012,6.854034906826897e-15,0.3338770866394043,0.0
98074,99002,141,64927,0.4976455783555583,0.9985643740772795,0.6642532281715325,0.49728978739155344,02420,0.48610612750053406,0.6350818872451782,4.750752036596181e-15,0.20200712978839874,0.0
